Generation,Min Fitness,Max Fitness, Average Fitness
0,62.5685671553862,1045.75518454626,416.683363100398
1,89.0239323827694,1196.5990729126,675.952187700363
2,172.778908980706,1388.34109943503,847.194229176131
3,171.685865037705,1406.24574721084,918.258714864701
4,186.717066187396,1453.31275550225,1018.36039393822
5,171.242628938621,1508.83436706157,1070.00594247171
6,194.976756993817,1543.68902602069,1106.94515289794
7,285.411419292399,1684.93371021354,1179.88448727177
8,325.927711955283,1684.93371021354,1278.72702706092
9,239.368105041707,1838.53299184931,1298.94420943942
10,436.365331753543,1914.42836098743,1389.08119342574
11,373.565053886166,1914.42836098743,1513.57886060053
12,646.383090742045,1993.50793749472,1699.11391832498
13,962.008327037717,1993.50793749472,1823.87311944414
14,398.38927537515,2164.74427571967,1776.4765602325
15,385.980359095467,2218.33547526267,1792.49406472133
16,437.308748658273,2419.04076511692,1811.3902678959
17,521.996514371911,2419.04076511692,1984.43841062024
18,340.913728877683,2494.23104624816,2015.42251012685
19,430.016393236732,2497.07090523582,2285.71614378263
20,656.977528229652,2658.93496670017,2281.69316082763
21,774.840767712426,2658.93496670017,2303.72425047064
22,195.369309750691,2719.18456579551,2320.80377732527
23,568.373358442964,2754.29085771414,2436.06937718678
24,455.644449906893,2988.17317620073,2405.49330201841
25,498.704301511635,2988.17317620073,2466.19788047298
26,548.356133813706,3037.54386462776,2668.3032386743
27,365.265541492247,3169.65884832771,2833.2584362133
28,360.277484363225,3209.42998195127,2654.90599488437
29,380.974472568542,3209.42998195127,2714.99593223845
30,234.159954580093,3209.42998195127,2760.93914908928
31,412.528951125125,3346.75692637,2951.20118421103
32,386.196476871417,3346.75692637,2979.9490797784
33,256.92923444433,3360.79651568366,2722.47292505924
34,547.968424663975,3504.3867666428,2977.14427478094
35,382.233470530383,3504.3867666428,2932.94125765709
36,377.216849277391,3858.6578497813,2847.26079577251
37,539.136459819005,3860.30038340169,3262.59410556711
38,483.066191038653,3860.30038340169,3072.07123143335
39,371.882385882706,3860.30038340169,3097.20449528694
40,475.398379823065,3944.9563552349,3574.24783363143
41,489.167989219274,3946.59888885528,3611.43080750979
42,350.153781749904,4122.67466465984,3385.13903370052
43,341.744209864012,4122.67466465984,3306.55381133424
44,374.903727464883,4219.78701090194,3562.07242453552
45,1149.25234864986,4328.26428080062,3718.61391404134
46,575.443671869287,4328.26428080062,3724.51004469783
47,1363.93511976234,4346.40953505928,3977.58292361422
