Generation,Min Fitness,Max Fitness, Average Fitness
0,53.7066934318072,1042.17228958123,440.058293524149
1,127.15558702435,1496.8318456752,714.3928507975
2,140.948549337098,1527.61515948518,883.296581582631
3,179.738458710047,1546.05130804773,1015.84712775806
4,154.894864322936,1747.92940845288,1267.7219462452
5,224.8900841168,1755.25604085245,1291.43775482874
6,202.017510284291,2045.36621542045,1365.84543292288
7,248.862375903424,2048.30124225423,1457.53875857418
8,222.929265016378,2085.35587184128,1487.78739651235
9,437.506693011455,2139.94792361195,1930.17393618587
10,486.56490615482,2177.81702910483,1907.58503741598
11,307.192654338989,2223.46764388162,1869.29470933794
12,372.363547795484,2401.89130426769,1934.97557274044
13,428.207988069162,2450.38799286852,1884.77448034381
14,441.61629821909,2538.03852092266,2081.26047832282
15,621.375649548067,2832.27352406838,2221.48615946303
16,475.037875835437,3029.35894876924,2305.68889993835
17,774.73550295696,3048.83985484589,2526.24166723125
18,451.279070388297,3048.83985484589,2735.37332615305
19,721.176725105998,3120.80535840045,2891.35112237403
20,690.923624374247,3187.31926628446,2862.43763873587
21,409.242409440881,3369.6266319383,2763.58752199113
22,360.372770218254,3381.88718332142,2776.58807128825
23,317.350971274822,3540.37718315631,2703.08706930477
24,307.388987425098,3774.04448672985,2837.13121690319
25,362.892580603524,3774.04448672985,3009.84130772708
26,760.337792301254,3836.94057055082,3572.82613583798
27,604.928537788142,3982.90024197131,3582.12091912901
28,655.947156791992,3982.90024197131,3344.82313559876
29,705.073099162518,4002.38448246498,3756.70289506288
30,2140.3218514906,4002.38448246498,3836.76321289983
31,1226.38331381032,4034.89971833177,3638.41607080328
32,1442.40950211668,4038.8580255131,3868.16755137103
33,855.415346983771,4231.81870098512,3668.32926117488
34,410.606420348176,4231.81870098512,3641.90326223236
35,479.680954886524,4285.25170267966,3617.54861143498
36,583.603015353777,4285.25170267966,4013.74533104237
37,1051.28391832864,4285.25170267966,3971.92109169354
38,2885.80585788499,4322.31008449023,4174.79513109392
39,473.896865440243,4322.31008449023,4107.24830891984
40,374.466630392093,4337.31564594887,3884.10435380541
41,416.239539568879,4337.31564594887,4188.14076758866
42,321.57644765419,4337.31564594887,3990.39758269707
43,460.303030148541,4337.31564594887,4155.40634878696
44,2566.97207491194,4337.31564594887,4218.81181285224
45,2566.97207491194,4337.31564594887,4221.31333458248
46,2834.34109557166,4337.31564594887,4241.59964496385
47,2833.5137720951,4337.31564594887,4229.63065598812
48,2831.6151026828,4337.31564594887,4246.11418616417
49,2231.97207139752,4337.31564594887,4231.36102948653
50,2717.85431395065,4337.31564594887,4206.72616491511
51,2825.76109861081,4346.40953505928,4247.95198313787
