Generation,Min Fitness,Max Fitness, Average Fitness
0,48.0575786219456,964.3553138097,449.517618715649
1,92.184873223832,1270.57030334567,674.385325341452
2,105.197575677098,1418.05122605277,853.238877196907
3,156.987897618145,1418.05122605277,920.018163995244
4,123.994182063801,1478.87626898908,998.024109036852
5,111.630231495823,1611.79681958992,1095.26458014131
6,261.276228294924,1752.36303036828,1278.37854216297
7,255.176802423638,1833.21035647715,1332.53568507742
8,383.779704456193,1883.441623347,1425.31118775328
9,321.249751703427,1910.03799056367,1556.89317619985
10,292.352427541934,1930.54092952435,1653.72022509714
11,293.520379174945,2080.83566344292,1697.49170080279
12,262.997622408273,2080.83566344292,1712.73947555428
13,489.3613693603,2136.86409165105,1780.0945496398
14,599.696908354665,2140.57628383989,1881.11554453358
15,562.352658290728,2169.47754112692,2005.82285713141
16,769.794442855952,2203.66443797264,1973.3562531915
17,657.127635836761,2276.92683298618,2010.5281588487
18,260.454106097918,2335.40629661191,1977.51505106541
19,448.705807937319,2384.55898259243,1938.24598095839
20,420.113737399224,2415.75292467712,2062.88913290328
21,347.702956415523,2546.59834181456,2030.22701156246
22,363.905824315482,2649.83441491176,2089.29785151558
23,411.512524584597,2675.14069125449,2183.79731616899
24,305.352393331944,2929.35817542859,2152.36351652566
25,379.380249866797,2929.35817542859,2304.82123608545
26,249.704679053384,2948.41124600964,2434.03116591612
27,460.666131572072,3009.89624874965,2623.59228646973
28,282.516770583679,3009.89624874965,2580.26979221464
29,276.411832525512,3009.89624874965,2582.11519605547
30,458.317790929384,3021.44624757811,2913.02271686255
31,1110.61171660263,3021.44624757811,2910.39952044101
32,870.383428038802,3088.40557135713,2760.31405857677
33,362.900589047443,3153.81668839669,2853.36624373523
34,224.674499010681,3221.99958993611,2629.30381262043
35,308.684485252833,3299.99448054356,2619.19709978834
36,373.731777805858,3307.21238189119,2564.22956692213
37,390.670962701194,3314.23163046656,2890.23978296529
38,532.252363994811,3314.23163046656,2811.7735190753
39,479.747661640746,3975.44714997223,2874.89943151305
40,378.916990350951,3978.57330515992,3092.46019170097
41,553.499522895739,3999.89614115977,3140.31327814121
42,972.320981472526,4020.63481479974,3576.32659448147
43,1046.45108480248,4022.76576665903,3650.29723941188
44,542.630983651976,4094.60145164702,3588.16042700772
45,535.385228096846,4094.60145164702,3599.09493346103
46,688.009018523086,4094.60145164702,3657.44198480297
47,982.244066754832,4180.21648612617,3763.11420212044
48,1340.08185517515,4180.21648612617,3941.74373279334
49,390.8463983552,4180.21648612617,3716.06123168912
50,397.576771821066,4225.40415095369,3994.64597664615
51,2383.61455455731,4225.40415095369,4056.42211049192
52,1669.59650856918,4225.40415095369,4024.58331941398
53,1600.99562894269,4225.40415095369,4082.60837532138
54,2841.31969780344,4225.40415095369,4135.80271661173
55,2757.30377765191,4310.48799275754,4128.36465174573
56,1459.03599117446,4310.48799275754,4061.89850378383
57,374.558879897569,4310.48799275754,4007.08177236549
58,138.686979663903,4310.48799275754,3970.40871018615
59,2817.67791017874,4310.48799275754,4180.17698318114
60,2818.48385553054,4310.48799275754,4211.60060148129
61,2818.48385553054,4310.48799275754,4218.84357265078
62,2845.26363775752,4310.48799275754,4191.79708092987
63,2817.67791017874,4310.48799275754,4218.63248016047
64,2822.59362295539,4346.40953505928,4201.7242808623
