Generation,Min Fitness,Max Fitness, Average Fitness
54,1557.73578205745,2595.26971259405,2540.29572504138
55,1622.84987059308,2595.26971259405,2534.32307856779
56,1555.41385396256,2595.26971259405,2538.79733946187
57,1616.43369677159,2595.26971259405,2533.40877310633
58,1555.41385396256,2595.26971259405,2522.83772927171
59,1557.73578205745,2595.26971259405,2532.53747151948
60,1562.61772629593,2595.26971259405,2539.51019113673
61,1562.61772629593,2595.26971259405,2518.98296023959
62,1599.46084927247,2595.26971259405,2527.83515028732
63,1616.08419172264,2595.26971259405,2531.90732717053
64,1659.21388535518,2595.26971259405,2550.82452203071
65,1555.41385396256,2595.26971259405,2535.23776251965
66,1555.41385396256,2595.26971259405,2526.48775557903
67,1557.73578205745,2595.26971259405,2518.20306430406
68,1603.85543634259,2595.26971259405,2546.71620783069
69,1562.61772629593,2595.26971259405,2529.70184366303
70,1555.41385396256,2595.26971259405,2536.56352647939
71,1557.73578205745,2595.26971259405,2532.49035718595
72,1573.86389724258,2595.26971259405,2537.31935249488
73,1562.61772629593,2595.26971259405,2514.02975044615
74,1527.73811284597,2595.26971259405,2537.84517132689
75,1557.73578205745,2595.26971259405,2538.71959645096
76,1573.86389724258,2595.26971259405,2534.3876305011
77,1557.73578205745,2595.26971259405,2533.76375344048
78,1646.35801497983,2595.26971259405,2538.70245284447
79,1622.84987059308,2595.26971259405,2527.48985809378
80,1616.43369677159,2595.26971259405,2516.7660584278
81,1557.73578205745,2595.26971259405,2520.69090732441
82,1555.41385396256,2595.26971259405,2528.97104488996
83,1555.41385396256,2595.26971259405,2534.74702753249
84,1557.73578205745,2595.26971259405,2515.45416357809
85,1712.01177192469,2595.26971259405,2549.77766448411
86,1555.41385396256,2595.26971259405,2526.72460027738
87,1557.73578205745,2595.26971259405,2539.68633646555
88,1557.73578205745,2595.26971259405,2537.41689857838
89,1646.35801497983,2595.26971259405,2555.07502893973
90,1562.61772629593,2595.26971259405,2539.87778362254
91,1573.86389724258,2595.26971259405,2540.96539532544
92,1555.41385396256,2595.26971259405,2541.04081513046
93,1557.73578205745,2595.26971259405,2526.75957170786
94,1562.61772629593,2595.26971259405,2524.35604257118
95,1557.73578205745,2595.26971259405,2548.35772475969
96,1677.26621258102,2595.26971259405,2536.93958609464
97,1616.43369677159,2595.26971259405,2536.54098230313
98,1562.61772629593,2595.26971259405,2538.6024162122
99,1622.84987059308,2595.26971259405,2551.25769630029
100,1557.73578205745,2595.26971259405,2540.57034570032
101,1616.43369677159,2595.26971259405,2536.50296803876
102,1573.86389724258,2595.26971259405,2539.95469260164
103,1557.73578205745,2595.26971259405,2544.0747695913
104,1555.41385396256,2595.26971259405,2532.17514250645
105,1557.73578205745,2595.26971259405,2528.90518777437
106,1622.84987059308,2595.26971259405,2543.42389050229
107,1562.61772629593,2595.26971259405,2528.64751460758
108,1557.73578205745,2595.26971259405,2522.60489110333
109,1557.73578205745,2595.26971259405,2518.75767163203
110,1603.85543634259,2595.26971259405,2535.43956170096
111,1562.61772629593,2595.26971259405,2545.08733858467
112,1557.73578205745,2595.26971259405,2524.98063112881
113,1603.85543634259,2595.26971259405,2545.18368852854
114,1562.61772629593,2595.26971259405,2530.20247763227
115,1622.84987059308,2595.26971259405,2512.91685419157
116,1616.08419172264,2595.26971259405,2526.91878496447
117,1616.08419172264,2595.26971259405,2543.72305206807
