Generation,Min Fitness,Max Fitness, Average Fitness
0,60.1661270603123,1077.07733046056,418.888915191752
1,21.4691330198296,1170.42709354757,610.525726548053
2,22.7703025545502,1332.60592098181,688.805653751722
3,104.424559764948,1549.27980692577,815.48506206933
4,129.177944130722,1549.27980692577,929.985091510345
5,105.621969186937,1780.56910620954,1032.65864186404
6,206.52916910514,1824.78516499313,1254.5468493673
7,208.408621429918,1921.35617705978,1250.05098488364
8,250.860616305885,1937.06824931671,1337.27944306248
9,197.393363612462,2134.56620937141,1448.36459932065
10,265.404229557059,2140.49075854148,1415.71499529263
11,184.667265113824,2141.99916877869,1474.1107322527
12,306.011496500973,2281.11462432275,1535.16448881083
13,96.9216231290261,2288.09190424625,1670.67562575697
14,291.116077565977,2288.09190424625,1686.57081934261
15,246.923420525171,2337.78929429631,1774.44769539612
16,258.907459214532,2343.50408762683,1862.34051924523
17,653.096156627629,2373.15251128789,2171.3917961839
18,624.179604550032,2470.63483628117,2076.65668637182
19,540.368970815446,2552.19294298227,1987.63296246008
20,418.631704869156,2552.19294298227,2064.36706532515
21,700.168119430572,2659.94354415055,2300.49140974283
22,539.078222317602,2659.94354415055,2297.30585200492
23,866.406300769191,2691.91750003803,2327.66994174356
24,771.929307785799,2723.35500424133,2427.11974636151
25,778.419253155856,2883.49953707919,2470.27615361764
26,355.960351934016,2941.12260671911,2509.34950602997
27,587.070513096674,3107.65508383135,2511.37749613419
28,494.703001413698,3152.84274865887,2635.5117693291
29,236.916321173493,3215.43761529498,2673.68466126159
30,205.478232042949,3228.05691480846,2908.3084254994
31,273.418266137363,3273.24457963598,2750.37511026684
32,427.727752248329,3311.02916982984,2771.42441280673
33,359.791193030987,3394.29984038885,2880.9369941163
34,391.454882939265,3672.92301494052,2767.79217810227
35,269.546051598578,3734.39227336703,2836.91188696056
36,354.67967423638,3734.39227336703,2907.08182139481
37,343.205530053516,3958.78433908986,3110.63766517078
38,236.244664878385,4115.03499116298,3328.76033313752
39,339.373047906279,4115.03499116298,3135.97455301341
40,422.23086081509,4160.99694979188,3595.4777584821
41,664.69924039082,4160.99694979188,3869.73696802047
42,345.310623869253,4195.41881810247,3426.05798980731
43,655.531024647251,4195.41881810247,3859.96795776379
44,267.277616980335,4195.41881810247,3616.77930880549
45,354.708743075074,4219.76226795111,3759.52315091927
46,368.487466368145,4219.76226795111,4047.66685052787
47,402.595680002075,4231.5843596838,3850.96604489842
48,484.941954286092,4231.5843596838,3645.10513307207
49,1071.13355185041,4322.31008449023,4066.85271795903
50,1023.56823924603,4322.31008449023,3986.95892110201
51,1922.74887017852,4322.31008449023,4051.98120601423
52,1907.6318185189,4322.31008449023,4172.58728815942
53,2840.37104229145,4322.31008449023,4194.508162892
54,2818.73502194109,4322.31008449023,4217.6894120139
55,2840.37104229145,4322.31008449023,4217.15497178928
56,2818.73502194109,4322.31008449023,4215.29122460743
57,2818.73502194109,4328.26428080062,4204.08116258708
58,1997.55810024403,4328.26428080062,4184.51442618059
59,1527.62657056939,4333.50829102681,4150.98541775243
60,904.906906955102,4346.40953505928,4128.94588709849
