Generation,Min Fitness,Max Fitness, Average Fitness
0,28.082284204501,1092.54417166888,437.194678269173
1,55.8436591636475,1217.88008062586,678.053280181866
2,125.941811885399,1397.62155038315,789.350457425806
3,115.426573473595,1562.7912312538,895.252293885042
4,88.8769821598216,1793.70661524934,983.090152627965
5,133.210011824722,1793.70661524934,1108.96160999585
6,232.425210097689,1934.83668249641,1253.40264726416
7,100.367006826277,2252.59278276411,1327.11839539474
8,158.590960585597,2252.59278276411,1607.69653765133
9,145.70427381741,2252.59278276411,1625.52076407723
10,41.7389018548193,2403.18013770632,1766.04799878855
11,428.289554703135,2499.75356581311,2068.65265882917
12,394.172514863401,2615.13223136607,1954.54961683677
13,518.672856329172,2643.13858458887,2159.47110111155
14,323.815090368119,2800.8010768794,2107.90772195924
15,388.752073428001,2833.01930706296,2206.70462952845
16,415.387512555956,2930.44824198087,2293.16773262253
17,366.045322587127,3314.03489099459,2476.70689445352
18,310.261750901449,3314.03489099459,2611.97951005066
19,344.947535765594,3370.59970824062,2517.94622863565
20,562.955884660297,3626.97092032047,3012.23951361462
21,703.961443607285,3697.04791553194,3160.39986537588
22,505.557412753528,3755.26465689322,3092.40737529481
23,353.762602013583,3767.44429288525,3209.8639362582
24,829.936343975852,3902.82114456911,3424.30427289796
25,742.902954455764,3940.12052403598,3318.98453731246
26,611.756979542628,3940.12052403598,3488.96460853687
27,352.100148247398,4018.61263815355,3339.68154641694
28,403.464356697072,4018.61263815355,3614.45720262352
29,412.416594901957,4054.23736854841,3595.16803641613
30,579.871864492502,4054.23736854841,3849.6872893208
31,481.967618691227,4080.44351495283,3647.35012409325
32,418.532310690853,4155.39490020391,3838.33844840247
33,356.332170966968,4155.39490020391,3564.15895110346
34,434.971920144145,4177.6095411949,3548.6834007836
35,507.611230221212,4216.52197399795,3858.53358246867
36,1183.5808772097,4216.52197399795,3805.475287044
37,746.324785239296,4216.52197399795,3805.56211985349
38,985.856612745008,4216.52197399795,4019.00931125078
39,2754.8243303829,4216.52197399795,4105.96678851176
40,2497.23554794879,4216.52197399795,4115.63759827413
41,2497.23554794879,4216.52197399795,4112.85046589688
42,2759.05375007113,4216.52197399795,4105.64364705827
43,2498.21662501794,4275.59873689739,4114.45036659546
44,1139.46102852519,4275.59873689739,4084.70958806457
45,656.759171126382,4275.59873689739,3884.4752388373
46,2783.8890919446,4275.59873689739,4159.01359032558
47,2769.19210384359,4275.59873689739,4166.22027545376
48,2823.49172082183,4346.40953505928,4168.61136122587
